Disease,Recommended Specialist
Fungal infection,Dermatologist
Allergy,Allergist/Immunologist
GERD,Gastroenterologist
Chronic cholestasis,Gastroenterologist
Drug Reaction,Allergist/Immunologist or Dermatologist
Peptic ulcer disease,Gastroenterologist
AIDS,Infectious Disease Specialist
Diabetes,Endocrinologist
Gastroenteritis,Gastroenterologist
Bronchial Asthma,Pulmonologist
Hypertension,Cardiologist
Migraine,Neurologist
Cervical spondylosis,Orthopedic Specialist or Neurologist
Paralysis (brain hemorrhage),Neurologist
Jaundice,Gastroenterologist or Hepatologist
Malaria,Infectious Disease Specialist
Chicken pox,Dermatologist or Infectious Disease Specialist
Dengue,Infectious Disease Specialist
Typhoid,Infectious Disease Specialist
Hepatitis A,Hepatologist
Hepatitis B,Hepatologist
Hepatitis C,Hepatologist
Hepatitis D,Hepatologist
Hepatitis E,Hepatologist
Alcoholic hepatitis,Hepatologist
Tuberculosis,Pulmonologist or Infectious Disease Specialist
Common Cold,General Practitioner
Pneumonia,Pulmonologist
Dimorphic hemorrhoids (piles),Gastroenterologist or Colorectal Surgeon
Heart attack,Cardiologist
Varicose veins,Vascular Surgeon
Hypothyroidism,Endocrinologist
Hyperthyroidism,Endocrinologist
Hypoglycemia,Endocrinologist
Osteoarthritis,Orthopedic Specialist
Arthritis,Rheumatologist
(Vertigo) Paroxysmal Positional Vertigo,Neurologist or ENT Specialist
Acne,Dermatologist
Urinary tract infection,Urologist
Psoriasis,Dermatologist
Impetigo,Dermatologist
